name,latitude,longitude,location,country,url,first_year,last_year,active,last_constructor,constructor_color
Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,1996,2024,True,Ferrari,"hsl(0, 80%, 60%)"
Sepang International Circuit,2.7608300000000003,101.738,Kuala Lumpur,Malaysia,http://en.wikipedia.org/wiki/Sepang_International_Circuit,1999,2017,False,Red Bull,"hsl(336, 80%, 60%)"
Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,http://en.wikipedia.org/wiki/Bahrain_International_Circuit,2004,2024,True,Red Bull,"hsl(336, 80%, 60%)"
Circuit de Barcelona-Catalunya,41.57,2.26111,Montmeló,Spain,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,1991,2024,True,Red Bull,"hsl(336, 80%, 60%)"
Istanbul Park,40.9517,29.405,Istanbul,Turkey,http://en.wikipedia.org/wiki/Istanbul_Park,2005,2021,True,Mercedes,"hsl(24, 80%, 60%)"
Circuit de Monaco,43.7347,7.42056,Monte-Carlo,Monaco,http://en.wikipedia.org/wiki/Circuit_de_Monaco,1950,2024,True,Ferrari,"hsl(0, 80%, 60%)"
Circuit Gilles Villeneuve,45.5,-73.5228,Montreal,Canada,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,1978,2024,True,Red Bull,"hsl(336, 80%, 60%)"
Circuit de Nevers Magny-Cours,46.8642,3.16361,Magny Cours,France,http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours,1991,2008,False,Ferrari,"hsl(0, 80%, 60%)"
Silverstone Circuit,52.0786,-1.01694,Silverstone,UK,http://en.wikipedia.org/wiki/Silverstone_Circuit,1950,2024,True,Mercedes,"hsl(24, 80%, 60%)"
Hockenheimring,49.3278,8.56583,Hockenheim,Germany,http://en.wikipedia.org/wiki/Hockenheimring,1970,2019,True,Red Bull,"hsl(336, 80%, 60%)"
Hungaroring,47.5789,19.2486,Budapest,Hungary,http://en.wikipedia.org/wiki/Hungaroring,1986,2024,True,McLaren,"hsl(192, 80%, 60%)"
Valencia Street Circuit,39.4589,-0.331667,Valencia,Spain,http://en.wikipedia.org/wiki/Valencia_Street_Circuit,2008,2012,False,Ferrari,"hsl(0, 80%, 60%)"
Circuit de Spa-Francorchamps,50.4372,5.97139,Spa,Belgium,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,1950,2024,True,Mercedes,"hsl(24, 80%, 60%)"
Autodromo Nazionale di Monza,45.6156,9.28111,Monza,Italy,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,1950,2024,True,Ferrari,"hsl(0, 80%, 60%)"
Marina Bay Street Circuit,1.2913999999999999,103.864,Marina Bay,Singapore,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,2008,2024,True,McLaren,"hsl(192, 80%, 60%)"
Fuji Speedway,35.3717,138.927,Oyama,Japan,http://en.wikipedia.org/wiki/Fuji_Speedway,1976,2008,False,Renault,"hsl(312, 80%, 60%)"
Shanghai International Circuit,31.3389,121.22,Shanghai,China,http://en.wikipedia.org/wiki/Shanghai_International_Circuit,2004,2024,True,Red Bull,"hsl(336, 80%, 60%)"
Autódromo José Carlos Pace,-23.7036,-46.6997,São Paulo,Brazil,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace,1973,2024,True,Red Bull,"hsl(336, 80%, 60%)"
Indianapolis Motor Speedway,39.795,-86.2347,Indianapolis,USA,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,1950,2007,False,McLaren,"hsl(192, 80%, 60%)"
Nürburgring,50.3356,6.9475,Nürburg,Germany,http://en.wikipedia.org/wiki/N%C3%BCrburgring,1951,2020,True,Mercedes,"hsl(24, 80%, 60%)"
Autodromo Enzo e Dino Ferrari,44.3439,11.7167,Imola,Italy,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari,1980,2024,True,Red Bull,"hsl(336, 80%, 60%)"
Suzuka Circuit,34.8431,136.541,Suzuka,Japan,http://en.wikipedia.org/wiki/Suzuka_Circuit,1987,2024,True,Red Bull,"hsl(336, 80%, 60%)"
Las Vegas Strip Street Circuit,36.1147,-115.173,Las Vegas,United States,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit,2023,2024,True,Mercedes,"hsl(24, 80%, 60%)"
Yas Marina Circuit,24.4672,54.6031,Abu Dhabi,UAE,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,2009,2024,True,McLaren,"hsl(192, 80%, 60%)"
Autódromo Juan y Oscar Gálvez,-34.6943,-58.4593,Buenos Aires,Argentina,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez,1953,1998,False,Ferrari,"hsl(0, 80%, 60%)"
Circuito de Jerez,36.7083,-6.03417,Jerez de la Frontera,Spain,http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez,1986,1997,False,McLaren,"hsl(192, 80%, 60%)"
Autódromo do Estoril,38.7506,-9.39417,Estoril,Portugal,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril,1984,1996,False,Williams,"hsl(264, 80%, 60%)"
Okayama International Circuit,34.915,134.221,Okayama,Japan,http://en.wikipedia.org/wiki/TI_Circuit,1994,1995,False,Benetton,"hsl(288, 80%, 60%)"
Adelaide Street Circuit,-34.9272,138.617,Adelaide,Australia,http://en.wikipedia.org/wiki/Adelaide_Street_Circuit,1985,1995,False,Williams,"hsl(264, 80%, 60%)"
Kyalami,-25.9894,28.0767,Midrand,South Africa,http://en.wikipedia.org/wiki/Kyalami,1967,1993,False,Williams,"hsl(264, 80%, 60%)"
Donington Park,52.8306,-1.37528,Castle Donington,UK,http://en.wikipedia.org/wiki/Donington_Park,1993,1993,False,McLaren,"hsl(192, 80%, 60%)"
Autódromo Hermanos Rodríguez,19.4042,-99.0907,Mexico City,Mexico,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,1963,2024,True,Ferrari,"hsl(0, 80%, 60%)"
Phoenix street circuit,33.4479,-112.075,Phoenix,USA,http://en.wikipedia.org/wiki/Phoenix_street_circuit,1989,1991,False,McLaren,"hsl(192, 80%, 60%)"
Circuit Paul Ricard,43.2506,5.79167,Le Castellet,France,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit,1971,2022,True,Red Bull,"hsl(336, 80%, 60%)"
Korean International Circuit,34.7333,126.417,Yeongam County,Korea,http://en.wikipedia.org/wiki/Korean_International_Circuit,2010,2013,False,Red Bull,"hsl(336, 80%, 60%)"
Autódromo Internacional Nelson Piquet,-22.9756,-43.395,Rio de Janeiro,Brazil,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet,1978,1989,False,Ferrari,"hsl(0, 80%, 60%)"
Detroit Street Circuit,42.3298,-83.0401,Detroit,USA,http://en.wikipedia.org/wiki/Detroit_street_circuit,1982,1988,False,McLaren,"hsl(192, 80%, 60%)"
Brands Hatch,51.3569,0.263056,Kent,UK,http://en.wikipedia.org/wiki/Brands_Hatch,1964,1986,False,Williams,"hsl(264, 80%, 60%)"
Circuit Park Zandvoort,52.3888,4.54092,Zandvoort,Netherlands,http://en.wikipedia.org/wiki/Circuit_Zandvoort,1952,2024,True,McLaren,"hsl(192, 80%, 60%)"
Zolder,50.9894,5.25694,Heusden-Zolder,Belgium,http://en.wikipedia.org/wiki/Zolder,1973,1984,False,Ferrari,"hsl(0, 80%, 60%)"
Dijon-Prenois,47.3625,4.89913,Dijon,France,http://en.wikipedia.org/wiki/Dijon-Prenois,1974,1984,False,McLaren,"hsl(192, 80%, 60%)"
Fair Park,32.7774,-96.7587,Dallas,USA,http://en.wikipedia.org/wiki/Fair_Park,1984,1984,False,Williams,"hsl(264, 80%, 60%)"
Long Beach,33.7651,-118.189,California,USA,"http://en.wikipedia.org/wiki/Long_Beach,_California",1976,1983,False,McLaren,"hsl(192, 80%, 60%)"
Las Vegas Street Circuit,36.1162,-115.174,Nevada,USA,http://en.wikipedia.org/wiki/Las_Vegas_Street_Circuit,1981,1982,False,Tyrrell,"hsl(168, 80%, 60%)"
Jarama,40.6171,-3.58558,Madrid,Spain,http://en.wikipedia.org/wiki/Circuito_Permanente_Del_Jarama,1968,1981,False,Ferrari,"hsl(0, 80%, 60%)"
Watkins Glen,42.3369,-76.9272,New York State,USA,http://en.wikipedia.org/wiki/Watkins_Glen_International,1961,1980,False,Williams,"hsl(264, 80%, 60%)"
Scandinavian Raceway,57.2653,13.6042,Anderstorp,Sweden,http://en.wikipedia.org/wiki/Scandinavian_Raceway,1973,1978,False,Brabham,"hsl(240, 80%, 60%)"
Mosport International Raceway,44.0481,-78.6756,Ontario,Canada,http://en.wikipedia.org/wiki/Mosport,1967,1977,False,Wolf,"hsl(216, 80%, 60%)"
Montjuïc,41.3664,2.15167,Barcelona,Spain,http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit,1969,1975,False,McLaren,"hsl(192, 80%, 60%)"
Nivelles-Baulers,50.6211,4.3269400000000005,Brussels,Belgium,http://en.wikipedia.org/wiki/Nivelles-Baulers,1972,1974,False,McLaren,"hsl(192, 80%, 60%)"
Charade Circuit,45.7472,3.03889,Clermont-Ferrand,France,http://en.wikipedia.org/wiki/Charade_Circuit,1965,1972,False,Tyrrell,"hsl(168, 80%, 60%)"
Circuit Mont-Tremblant,46.1877,-74.6099,Quebec,Canada,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant,1968,1970,False,Ferrari,"hsl(0, 80%, 60%)"
Rouen-Les-Essarts,49.3306,1.00458,Rouen,France,http://en.wikipedia.org/wiki/Rouen-Les-Essarts,1952,1968,False,Ferrari,"hsl(0, 80%, 60%)"
Le Mans,47.95,0.22423099999999999,Le Mans,France,http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit,1967,1967,False,Brabham-Repco,"hsl(144, 80%, 60%)"
Reims-Gueux,49.2542,3.9308300000000003,Reims,France,http://en.wikipedia.org/wiki/Reims-Gueux,1950,1966,False,Brabham-Repco,"hsl(144, 80%, 60%)"
Prince George Circuit,-33.0486,27.8736,Eastern Cape Province,South Africa,http://en.wikipedia.org/wiki/Prince_George_Circuit,1962,1965,False,Lotus-Climax,"hsl(120, 80%, 60%)"
Zeltweg,47.2039,14.7478,Styria,Austria,http://en.wikipedia.org/wiki/Zeltweg_Airfield,1964,1964,False,Ferrari,"hsl(0, 80%, 60%)"
Aintree,53.4769,-2.94056,Liverpool,UK,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit,1955,1962,False,Lotus-Climax,"hsl(120, 80%, 60%)"
Circuito da Boavista,41.1705,-8.67325,Oporto,Portugal,http://en.wikipedia.org/wiki/Circuito_da_Boavista,1958,1960,False,Cooper-Climax,"hsl(72, 80%, 60%)"
Riverside International Raceway,33.937,-117.273,California,USA,http://en.wikipedia.org/wiki/Riverside_International_Raceway,1960,1960,False,Team Lotus,"hsl(96, 80%, 60%)"
AVUS,52.4806,13.2514,Berlin,Germany,http://en.wikipedia.org/wiki/AVUS,1959,1959,False,Ferrari,"hsl(0, 80%, 60%)"
Monsanto Park Circuit,38.7197,-9.20306,Lisbon,Portugal,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit,1959,1959,False,Cooper-Climax,"hsl(72, 80%, 60%)"
Sebring International Raceway,27.4547,-81.3483,Florida,USA,http://en.wikipedia.org/wiki/Sebring_Raceway,1959,1959,False,Cooper-Climax,"hsl(72, 80%, 60%)"
Ain Diab,33.5786,-7.6875,Casablanca,Morocco,http://en.wikipedia.org/wiki/Ain-Diab_Circuit,1958,1958,False,Vanwall,"hsl(48, 80%, 60%)"
Pescara Circuit,42.475,14.1508,Pescara,Italy,http://en.wikipedia.org/wiki/Pescara_Circuit,1957,1957,False,Vanwall,"hsl(48, 80%, 60%)"
Circuit Bremgarten,46.9589,7.40194,Bern,Switzerland,http://en.wikipedia.org/wiki/Circuit_Bremgarten,1950,1954,False,Mercedes,"hsl(24, 80%, 60%)"
Circuit de Pedralbes,41.3903,2.11667,Barcelona,Spain,http://en.wikipedia.org/wiki/Pedralbes_Circuit,1951,1954,False,Ferrari,"hsl(0, 80%, 60%)"
Buddh International Circuit,28.3487,77.5331,Uttar Pradesh,India,http://en.wikipedia.org/wiki/Buddh_International_Circuit,2011,2013,False,Red Bull,"hsl(336, 80%, 60%)"
Circuit of the Americas,30.1328,-97.6411,Austin,USA,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,2012,2024,True,Ferrari,"hsl(0, 80%, 60%)"
Red Bull Ring,47.2197,14.7647,Spielberg,Austria,http://en.wikipedia.org/wiki/Red_Bull_Ring,1970,2024,True,Mercedes,"hsl(24, 80%, 60%)"
Sochi Autodrom,43.4057,39.9578,Sochi,Russia,http://en.wikipedia.org/wiki/Sochi_Autodrom,2014,2021,True,Mercedes,"hsl(24, 80%, 60%)"
Baku City Circuit,40.3725,49.8533,Baku,Azerbaijan,http://en.wikipedia.org/wiki/Baku_City_Circuit,2016,2024,True,McLaren,"hsl(192, 80%, 60%)"
Autódromo Internacional do Algarve,37.227,-8.6267,Portimão,Portugal,http://en.wikipedia.org/wiki/Algarve_International_Circuit,2020,2021,True,Mercedes,"hsl(24, 80%, 60%)"
Autodromo Internazionale del Mugello,43.9975,11.3719,Mugello,Italy,http://en.wikipedia.org/wiki/Mugello_Circuit,2020,2020,True,Mercedes,"hsl(24, 80%, 60%)"
Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit,2021,2024,True,Red Bull,"hsl(336, 80%, 60%)"
Losail International Circuit,25.49,51.4542,Al Daayen,Qatar,http://en.wikipedia.org/wiki/Losail_International_Circuit,2021,2024,True,Red Bull,"hsl(336, 80%, 60%)"
Miami International Autodrome,25.9581,-80.2389,Miami,USA,http://en.wikipedia.org/wiki/Miami_International_Autodrome,2022,2024,True,McLaren,"hsl(192, 80%, 60%)"
